corpus,task,name,url,fs,lang,gender,pytorch,espnet,commit,valid
,,test,https://zenodo.org/record/3951842/files/test.zip?download=1,,,,,,,true
mini_an4,asr,kamo-naoyuki/mini_an4_asr_train_raw_bpe_valid.acc.best,https://zenodo.org/record/3957940/files/asr_train_raw_bpe_valid.acc.best.zip?download=1,16000,en,,,,,true
librispeech,asr,Shinji Watanabe/librispeech_asr_train_asr_transformer_e18_raw_bpe_sp_valid.acc.best,https://zenodo.org/record/4030511/files/asr_train_asr_transformer_e18_raw_bpe_sp_valid.acc.best.zip?download=1,16000,en,,,,,true
jsut,tts,kan-bayashi/jsut_tts_train_tacotron2_raw_phn_jaconv_pyopenjtalk_train.loss.best,https://zenodo.org/record/3963886/files/tts_train_tacotron2_raw_phn_jaconv_pyopenjtalk_train.loss.best.zip?download=1,24000,jp,female,,,,true
jsut,tts,kan-bayashi/jsut_tts_train_fastspeech_raw_phn_jaconv_pyopenjtalk_train.loss.best,https://zenodo.org/record/3986225/files/tts_train_fastspeech_raw_phn_jaconv_pyopenjtalk_train.loss.best.zip?download=1,24000,jp,female,,,,true
jsut,tts,kan-bayashi/jsut_tts_train_fastspeech2_raw_phn_jaconv_pyopenjtalk_train.loss.best,https://zenodo.org/record/3988923/files/tts_train_fastspeech2_raw_phn_jaconv_pyopenjtalk_train.loss.best.zip?download=1,24000,jp,female,,,,true
csmsc,tts,kan-bayashi/csmsc_tts_train_tacotron2_raw_phn_pypinyin_g2p_phone_train.loss.best,https://zenodo.org/record/3969118/files/tts_train_tacotron2_raw_phn_pypinyin_g2p_phone_train.loss.best.zip?download=1,24000,zh,female,,,,true
csmsc,tts,kan-bayashi/csmsc_tts_train_fastspeech_raw_phn_pypinyin_g2p_phone_train.loss.best,https://zenodo.org/record/3986227/files/tts_train_fastspeech_raw_phn_pypinyin_g2p_phone_train.loss.best.zip?download=1,24000,zh,female,,,,true
csmsc,tts,kan-bayashi/csmsc_tts_train_fastspeech2_raw_phn_pypinyin_g2p_phone_train.loss.best,https://zenodo.org/record/3988918/files/tts_train_fastspeech2_raw_phn_pypinyin_g2p_phone_train.loss.best.zip?download=1,24000,zh,female,,,,true
ljspeech,tts,kan-bayashi/ljspeech_tts_train_tacotron2_raw_phn_tacotron_g2p_en_no_space_train.loss.best,https://zenodo.org/record/3989498/files/tts_train_tacotron2_raw_phn_tacotron_g2p_en_no_space_train.loss.best.zip?download=1,22050,en,female,,,,true
ljspeech,tts,kan-bayashi/ljspeech_tts_train_fastspeech_raw_phn_tacotron_g2p_en_no_space_train.loss.best,https://zenodo.org/record/3986231/files/tts_train_fastspeech_raw_phn_tacotron_g2p_en_no_space_train.loss.best.zip?download=1,22050,en,female,,,,true
ljspeech,tts,kan-bayashi/ljspeech_tts_train_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.best,https://zenodo.org/record/3988916/files/tts_train_fastspeech2_raw_phn_tacotron_g2p_en_no_space_train.loss.best.zip?download=1,22050,en,female,,,,true
vctk,tts,kan-bayashi/vctk_tts_train_gst_tacotron2_raw_phn_tacotron_g2p_en_no_space_train.loss.best,https://zenodo.org/record/3986237/files/tts_train_gst_tacotron2_raw_phn_tacotron_g2p_en_no_space_train.loss.best.zip?download=1,24000,en,,,,,true
vctk,tts,kan-bayashi/vctk_tts_train_gst_fastspeech_raw_phn_tacotron_g2p_en_no_space_train.loss.best,https://zenodo.org/record/3986241/files/tts_train_gst_fastspeech_raw_phn_tacotron_g2p_en_no_space_train.loss.best.zip?download=1,24000,en,,,,,false
jsut,tts,kan-bayashi/jsut_tacotron2,https://zenodo.org/record/3963886/files/tts_train_tacotron2_raw_phn_jaconv_pyopenjtalk_train.loss.best.zip?download=1,24000,jp,female,,,,true
jsut,tts,kan-bayashi/jsut_fastspeech,https://zenodo.org/record/3986225/files/tts_train_fastspeech_raw_phn_jaconv_pyopenjtalk_train.loss.best.zip?download=1,24000,jp,female,,,,true
csmsc,tts,kan-bayashi/csmsc_tacotron2,https://zenodo.org/record/3969118/files/tts_train_tacotron2_raw_phn_pypinyin_g2p_phone_train.loss.best.zip?download=1,24000,zh,female,,,,true
